,Company name,Symbol,Sector[15],Date added[16]
1,Adani Enterprises,ADANIENT,Metals & Mining,30 September 2022
2,Adani Ports & SEZ,ADANIPORTS,Services,28 September 2015
3,Apollo Hospitals,APOLLOHOSP,Healthcare,31 March 2022
4,Asian Paints,ASIANPAINT,Consumer Durables,27 April 2012[a]
5,Axis Bank,AXISBANK,Financial Services,27 March 2009
6,Bajaj Auto,BAJAJ-AUTO,Automobile and Auto Components,1 October 2010[b]
7,Bajaj Finance,BAJFINANCE,Financial Services,29 September 2017
8,Bajaj Finserv,BAJAJFINSV,Financial Services,2 April 2018
9,Bharat Electronics,BEL,Capital Goods,30 September 2024
10,Bharti Airtel,BHARTIARTL,Telecommunication,1 March 2004
11,Cipla,CIPLA,Healthcare,7 October 1998
12,Coal India,COALINDIA,"Oil, Gas & Consumable Fuels",10 October 2011
13,Dr. Reddy's Laboratories,DRREDDY,Healthcare,1 October 2010[c]
14,Eicher Motors,EICHERMOT,Automobile and Auto Components,1 April 2016
15,Eternal,ETERNAL,Consumer Services,28 March 2025
16,Grasim Industries,GRASIM,Construction Materials,2 April 2018[d]
17,HCLTech,HCLTECH,Information Technology,28 October 2002
18,HDFC Bank,HDFCBANK,Financial Services,22 April 1996
19,HDFC Life,HDFCLIFE,Financial Services,31 July 2020
20,Hero MotoCorp,HEROMOTOCO,Automobile and Auto Components,7 October 1998[e]
21,Hindalco Industries,HINDALCO,Metals & Mining,22 April 1996
22,Hindustan Unilever,HINDUNILVR,Fast Moving Consumer Goods,22 April 1996
23,ICICI Bank,ICICIBANK,Financial Services,25 January 2002
24,IndusInd Bank,INDUSINDBK,Financial Services,1 April 2013
25,Infosys,INFY,Information Technology,7 October 1998
26,ITC,ITC,Fast Moving Consumer Goods,22 April 1996
27,Jio Financial Services,JIOFIN,Financial Services,28 March 2025
28,JSW Steel,JSWSTEEL,Metals & Mining,28 September 2018
29,Kotak Mahindra Bank,KOTAKBANK,Financial Services,8 April 2010
30,Larsen & Toubro,LT,Construction,10 December 2004[f]
31,Mahindra & Mahindra,M&M,Automobile and Auto Components,18 September 1996
32,Maruti Suzuki,MARUTI,Automobile and Auto Components,1 March 2004
33,Nestlé India,NESTLEIND,Fast Moving Consumer Goods,27 September 2019[g]
34,NTPC,NTPC,Power,24 September 2007
35,Oil and Natural Gas Corporation,ONGC,"Oil, Gas & Consumable Fuels",12 April 2004
36,Power Grid,POWERGRID,Power,14 March 2008
37,Reliance Industries,RELIANCE,"Oil, Gas & Consumable Fuels",22 April 1996
38,SBI Life Insurance Company,SBILIFE,Financial Services,25 September 2020
39,Shriram Finance,SHRIRAMFIN,Financial Services,28 March 2024
40,State Bank of India,SBIN,Financial Services,22 April 1996
41,Sun Pharma,SUNPHARMA,Healthcare,17 January 2002
42,Tata Consultancy Services,TCS,Information Technology,25 February 2005
43,Tata Consumer Products,TATACONSUM,Fast Moving Consumer Goods,31 March 2021[h]
44,Tata Motors,TATAMOTORS,Automobile and Auto Components,22 April 1996
45,Tata Steel,TATASTEEL,Metals & Mining,22 April 1996
46,Tech Mahindra,TECHM,Information Technology,28 March 2014
47,Titan Company,TITAN,Consumer Durables,2 April 2018
48,Trent,TRENT,Consumer Services,30 September 2024
49,UltraTech Cement,ULTRACEMCO,Construction Materials,28 September 2012
50,Wipro,WIPRO,Information Technology,27 September 2013[i]
